City Name,2023_Score_Max10000,2022_Score_Max7500,2020_Score_Max6000,2019_Score_5000,2018_Score,2017_Score,2016_Score,lat,lon
MANDSAUR,6593.857674,5221.65,3844.64,3382.059701,3103,1318,1190.857143,24.0676,75.0309
RAJAHMUNDRY,6593.857674,4212.56,3838.66,2867,2904.415663,1456,1190.857143,16.9989,81.7906
SEONI_M,6593.857674,5213.68,3838.27,3382.059701,2904.415663,1092.744027,1190.857143,22.1321,79.551
FIROZABAD (M.CORP.),6593.857674,4099.03,3819.57,3382.059701,2904.415663,1092.744027,1190.857143,27.1565,78.3957
UDAIPUR (M CL),6593.857674,3969.52,3814.36,3382.059701,2904.415663,1092.744027,1190.857143,24.585,73.7125
UDGIR,6593.857674,3992.21,3811.73,3225,2904.415663,910,1190.857143,18.393,77.1075
PANCHKULA,6593.857674,4273.42,3783.01,3056,2904.415663,968,1190.857143,30.7046,76.836
ONGOLE,6593.857674,3158.75,3782.72,3382.059701,2638,1322,1190.857143,15.7062,80.0431
KAKINADA,6593.857674,4120.25,3774.56,3382.059701,2904.415663,1464,1190.857143,16.9934,82.245
WARDHA,6593.857674,4017.44,3765.85,3475,2873,760,1190.857143,20.7406,78.617
NANDED WAGHALA,6593.857674,4516.03,3757.54,3141,2904.415663,1010,1190.857143,19.1409,77.3083
SATARA,6593.857674,5713.61,3737.57,3361,2815,1090,1190.857143,17.6891,73.829
GURGAON,6593.857674,5544.93,3733.97,2975,2904.415663,1214,1194,28.4595,77.029
BRAHMAPUR,6593.857674,4247.56,3718.55,3382.059701,2904.415663,1022,1190.857143,19.3103,84.794
JALGAON,6593.857674,4286.83,3702.24,3034,2634,1083,1190.857143,21.0077,75.5695
SHIMLA,6593.857674,4798.12,3695.03,3382.059701,2904.415663,1438,1244,31.1048,77.1664
AKOLA,6593.857674,2684.45,3674.57,3382.059701,2904.415663,798,1190.857143,20.7031,77.014
JALANDHAR CANTT.,6593.857674,3560.94,3670.03,3382.059701,2904.415663,1092.744027,1190.857143,31.3213,75.5842
SOLAPUR,6593.857674,4255.17,3663.38,3206,2620,1213,1190.857143,17.6599,75.9064
HARDOI (NPP),6593.857674,3315.82,3650.59,3382.059701,2904.415663,1092.744027,1190.857143,27.3796,80.1081
ANAND,6593.857674,4071.4,3648.57,3382.059701,2904.415663,1225,1190.857143,22.5706,72.9303
DELHI CANTT.,6593.857674,4029.19,3647.64,3382.059701,2904.415663,1062,1190.857143,28.6041,77.1561
PARBHANI,6593.857674,4261.8,3646.17,3382.059701,3007,924,1190.857143,19.3895,76.781
Jodhpur,6593.857674,3728.456823,3615.33,3382.059701,2904.415663,970,971,26.2945,73.0005
NAGDA,6593.857674,5184.14,3612.66,3794,2661,1213,1190.857143,23.1602,75.4537
KARIMNAGAR,6593.857674,4563.07,3602.16,2861,2709,987,1190.857143,17.2972,79.1324
VAPI,6593.857674,4450.44,3583.37,2953,3019,1558,1190.857143,20.3705,72.8981
SATNA,6593.857674,4628.27,3583.19,3382.059701,2605,1317,1190.857143,24.3016,80.8196
TENALI,6593.857674,2662.48,3576.63,2936,2904.415663,1464,1190.857143,15.8516,80.6005
KADAPA,6593.857674,4217.6,3559.97,3382.059701,2904.415663,1096,1190.857143,14.4703,78.8232
GODHRA,6593.857674,3969.89,3557.97,3382.059701,2904.415663,1422,1190.857143,22.7591,73.6447
SHAHJAHANPUR (NPP),6593.857674,4497.37,3538.71,3382.059701,2904.415663,1092.744027,1190.857143,27.8945,79.907
MEERUT CANTT.,6593.857674,2095.66,3529.31,3382.059701,2904.415663,1092.744027,1190.857143,28.982,77.7441
BATHINDA,6593.857674,3783.75,3526.68,3520,2904.415663,1169,1190.857143,30.2108,74.9483
DAMOH,6593.857674,4450.84,3521.89,3012,2904.415663,906,1190.857143,23.8631,79.1152
CHITTOOR,6593.857674,3433.86,3509.68,3382.059701,2599,1321,1190.857143,13.2027,79.1172
Gorakhpur,6593.857674,3728.456823,3509.45,3382.059701,2904.415663,756,1190.857143,26.7504,83.3732
DURG,6593.857674,5361.68,3505.49,3500,2972,1284,1089,21.2115,81.2849
SILVASSA,6593.857674,3314.61,3504.89,3382.059701,2904.415663,1092.744027,1190.857143,20.2769,73.0297
VIDISHA,6593.857674,3206.68,3498.7,3382.059701,2904.415663,1061,1190.857143,23.919,78.4435
PATIALA,6593.857674,4012.44,3467.35,3382.059701,2904.415663,517,1190.857143,30.3378,76.3925
CHHATARPUR,6593.857674,4510.37,3450.63,3382.059701,2609,1092.744027,1190.857143,24.1044,79.3216
YAVATMAL,6593.857674,4341.61,3431.52,2887,2904.415663,924,1190.857143,20.398,78.209
ICHHALKARANJI,6593.857674,2955.7,3428.19,3382.059701,2904.415663,1092.744027,1190.857143,16.7078,74.4839
SOUTH DELHI (SDMC),6593.857674,4171.07,3422.27,3382.059701,3029,984,1180,28.6129,77.1935
NEEMUCH,6593.857674,4604.45,3420.91,3314,2716,1161,1190.857143,24.0334,75.0166
HAZARIBAG,6593.857674,3185.77,3416.47,3113,2597,1269,1190.857143,23.901,85.4948
HINGANGHAT,6593.857674,4688.92,3416.13,3382.059701,2904.415663,657,1190.857143,20.6338,78.6002
HINDUPUR,6593.857674,2419.65,3414.74,3382.059701,2904.415663,1086,1190.857143,14.2671,77.9656
